BSU number Source,Source,BSU number target,Target,beta.mean,var.exp.rank.mean,"prior (Interaction (0=novel, -1=recovered prior repression, 1=recovered prior activation)"
BSU14480,abh,BSU02330,ybfQ,0.175,42355.448,0
BSU14480,abh,BSU03480,srfAA,-0.233,28671.545,-1
BSU14480,abh,BSU03490,srfAB,-0.291,17567.513,-1
BSU14480,abh,BSU03500,comS,-0.285,19414.78,-1
BSU14480,abh,BSU03510,srfAC,-0.2,29166.438,-1
BSU14480,abh,BSU03520,srfAD,-0.189,28880.583,-1
BSU14480,abh,BSU05280,ydeO,0.196,42912.065,0
BSU14480,abh,BSU07750,yflA,-0.159,43201.478,-1
BSU14480,abh,BSU14890,ctaC,-0.543,1137.345,-1
BSU14480,abh,BSU14900,ctaD,-0.592,888.32,-1
BSU14480,abh,BSU14910,ctaE,-0.609,793.35,-1
BSU14480,abh,BSU14920,ctaF,-0.598,857.92,-1
BSU14480,abh,BSU14930,ctaG,-0.557,1072.02,-1
BSU14480,abh,BSU22540,qcrC,-0.269,21217.64,0
BSU14480,abh,BSU25190,cccA,-0.282,22095.59,0
BSU14480,abh,BSU25280,recO,-0.193,40204.175,0
BSU14480,abh,BSU25290,era,-0.2,35695.217,0
BSU14480,abh,BSU25300,cdd,-0.159,42790.652,0
BSU14480,abh,BSU28550,fadR,-0.24,31202.897,0
BSU14480,abh,BSU29249,ytzJ,-0.169,41514.485,0
BSU14480,abh,BSU31690,comP,-0.234,41545.155,0
BSU14480,abh,BSU36460,ywoF,-0.254,26013.842,-1
BSU14480,abh,BSU38230,ywcB,-0.131,43364.717,0
BSU00370,abrB,BSU00490,spoVG,-0.339,4436.635,-1
BSU00370,abrB,BSU00980,sigH,-0.356,19676.667,-1
BSU00370,abrB,BSU01510,ybaJ,-0.26,29254.91,-1
BSU00370,abrB,BSU01910,skfA,-0.263,24349.875,-1
BSU00370,abrB,BSU01920,skfB,-0.577,2353.42,-1
BSU00370,abrB,BSU01935,skfC,-0.639,1618.205,-1
BSU00370,abrB,BSU01950,skfE,-0.554,1670.335,-1
BSU00370,abrB,BSU01960,skfF,-0.559,2167.94,-1
BSU00370,abrB,BSU01970,skfG,-0.551,2277.81,-1
BSU00370,abrB,BSU01980,skfH,-0.558,2656.135,-1
BSU00370,abrB,BSU01990,ybdG,-0.513,16358.36,0
BSU00370,abrB,BSU02040,ybdN,-0.703,1732.485,-1
BSU00370,abrB,BSU02050,ybdO,-0.577,1548.05,-1
BSU00370,abrB,BSU02310,ybfO,-0.338,16676.495,-1
BSU00370,abrB,BSU02320,ybfP,-0.287,40940.948,-1
BSU00370,abrB,BSU02520,ycbJ,-0.244,30815.268,-1
BSU00370,abrB,BSU02700,lip,-0.379,7615.898,-1
BSU00370,abrB,BSU02780,ycdA,-0.127,39205.96,-1
BSU00370,abrB,BSU03480,srfAA,-0.299,32689.963,0
BSU00370,abrB,BSU03490,srfAB,-0.402,20651.045,0
BSU00370,abrB,BSU03500,comS,-0.419,18471.298,0
BSU00370,abrB,BSU03510,srfAC,-0.302,31959.085,0
BSU00370,abrB,BSU03520,srfAD,-0.346,27500.64,0
BSU00370,abrB,BSU05200,ydeH,-0.505,5678.02,-1
BSU00370,abrB,BSU05220,ydeJ,-0.348,32593.835,-1
BSU00370,abrB,BSU05810,gmuB,0.385,18729.985,1
BSU00370,abrB,BSU05820,gmuA,0.329,30955.472,1
BSU00370,abrB,BSU05830,gmuC,0.376,26723.535,1
BSU00370,abrB,BSU05840,gmuD,0.478,14202.632,1
BSU00370,abrB,BSU05860,gmuE,0.356,23698.287,1
BSU00370,abrB,BSU05870,gmuF,0.339,23897.085,1
BSU00370,abrB,BSU06076,ydzW/3,-0.231,39911.14,0
BSU00370,abrB,BSU06240,bdhA,-0.412,11607.045,-1
BSU00370,abrB,BSU06269,ydzJ,-0.331,28976.445,0
BSU00370,abrB,BSU06640,yerI,-0.432,18554.01,-1
BSU00370,abrB,BSU06812,yeeF,-0.413,20442.03,0
BSU00370,abrB,BSU06830,rapH,-0.14,41857.495,-1
BSU00370,abrB,BSU07460,yfmI,-0.652,2394.945,-1
BSU00370,abrB,BSU07480,yfmG,-0.816,758.595,-1
BSU00370,abrB,BSU07560,pel,-0.27,40070.757,0
BSU00370,abrB,BSU07750,yflA,-0.104,41813.915,-1
BSU00370,abrB,BSU08029,yfzA,-0.306,42108.332,0
BSU00370,abrB,BSU09290,glpK,0.18,38732.48,1
BSU00370,abrB,BSU09890,yhaQ,-0.294,12340.54,-1
BSU00370,abrB,BSU09900,yhaP,-0.231,21438.57,-1
BSU00370,abrB,BSU09990,scoC,0.53,1035.23,1
BSU00370,abrB,BSU10300,aprE,-0.128,44122.457,-1
BSU00370,abrB,BSU10420,comK,-0.424,27683.338,-1
BSU00370,abrB,BSU10560,ntdR,-0.486,3788.275,-1
BSU00370,abrB,BSU11910,yjcM,-0.215,24493.597,-1
BSU00370,abrB,BSU11990,yjdB,-0.357,16675.272,-1
BSU00370,abrB,BSU12040,yjdG,-0.352,5271.775,-1
BSU00370,abrB,BSU12070,yjdJ,-0.35,19129.525,0
BSU00370,abrB,BSU12080,ctaO,-0.313,12219.775,-1
BSU00370,abrB,BSU13070,ykkA,-0.276,33543.997,0
BSU00370,abrB,BSU13080,ykkB,-0.244,42058.548,0
BSU00370,abrB,BSU13530,kinE,-0.282,21258.865,0
BSU00370,abrB,BSU13640,spo0E,-0.4,10445.605,-1
BSU00370,abrB,BSU13980,pbpH,-0.347,27366.405,-1
BSU00370,abrB,BSU13990,kinA,-0.321,19814.71,0
BSU00370,abrB,BSU14220,ykuU,-0.465,15508.017,-1
BSU00370,abrB,BSU14230,ykuV,-0.312,21259.583,-1
BSU00370,abrB,BSU14340,yknW,-0.455,5489.977,-1
BSU00370,abrB,BSU14350,yknX,-0.366,3394.64,-1
BSU00370,abrB,BSU14360,yknY,-0.345,5414.092,-1
BSU00370,abrB,BSU14370,yknZ,-0.367,4213.118,-1
BSU00370,abrB,BSU14690,yktD,-0.372,20314.583,0
BSU00370,abrB,BSU14750,ylaE,-0.196,31734.857,-1
BSU00370,abrB,BSU14890,ctaC,-0.431,2057.6,-1
BSU00370,abrB,BSU14900,ctaD,-0.418,2166.3,-1
BSU00370,abrB,BSU14910,ctaE,-0.417,1700.95,-1
BSU00370,abrB,BSU14920,ctaF,-0.413,2533.78,-1
BSU00370,abrB,BSU14930,ctaG,-0.39,2815.27,-1
BSU00370,abrB,BSU14940,ylbA,-0.235,37121.978,-1
BSU00370,abrB,BSU15300,bpr,-0.187,39016.293,0
BSU00370,abrB,BSU15960,sivC,-0.468,2645.832,-1
BSU00370,abrB,BSU17100,pksC,-0.24,39215.798,0
BSU00370,abrB,BSU17110,pksD,-0.427,10615.802,0
BSU00370,abrB,BSU17120,pksE,-0.466,10157.468,0
BSU00370,abrB,BSU17130,acpK,-0.318,26609.213,0
BSU00370,abrB,BSU17140,pksF,-0.382,24525.01,0
BSU00370,abrB,BSU17150,pksG,-0.332,24854.393,0
BSU00370,abrB,BSU17160,pksH,-0.452,18257.252,0
BSU00370,abrB,BSU17170,pksI,-0.478,14471.885,0
BSU00370,abrB,BSU17180,pksJ,-0.272,29319.495,0
BSU00370,abrB,BSU17190,pksL,-0.335,17865.838,0
BSU00370,abrB,BSU17200,pksM,-0.505,9538.075,0
BSU00370,abrB,BSU17210,pksN,-0.314,25021.827,0
BSU00370,abrB,BSU17220,pksR,-0.223,35704.702,0
BSU00370,abrB,BSU17240,ymzB,-0.28,32751.632,-1
BSU00370,abrB,BSU17250,ymaE,-0.656,1664.2,-1
BSU00370,abrB,BSU17350,ymzC,-0.276,38554.095,0
BSU00370,abrB,BSU17690,yncM,-0.445,20344.518,-1
BSU00370,abrB,BSU17920,ynzD,-0.171,41375.717,-1
BSU00370,abrB,BSU18150,xynC,-0.232,39262.628,-1
BSU00370,abrB,BSU18160,xynD,-0.369,24519.283,-1
BSU00370,abrB,BSU18300,ppsE,-0.792,1797.57,-1
BSU00370,abrB,BSU18330,ppsB,-0.665,5685.755,-1
BSU00370,abrB,BSU18340,ppsA,-0.387,12542.288,-1
BSU00370,abrB,BSU18350,dacC,-0.189,33535.658,0
BSU00370,abrB,BSU18360,galM,-0.188,33520.105,0
BSU00370,abrB,BSU18370,yoeA,-0.351,32239.368,0
BSU00370,abrB,BSU18780,yoaW,-0.276,26093.877,-1
BSU00370,abrB,BSU18820,yobB,-0.438,3279.38,-1
BSU00370,abrB,BSU18908,yozY,-0.403,9458.622,0
BSU00370,abrB,BSU18910,rapK,-0.576,2609.497,-1
BSU00370,abrB,BSU18920,phrK,-0.326,14099.358,-1
BSU00370,abrB,BSU18960,yozM,-0.299,34423.92,0
BSU00370,abrB,BSU19410,cwlS,-0.336,7279.227,-1
BSU00370,abrB,BSU19800,phy,-0.318,15412.397,-1
BSU00370,abrB,BSU21670,ypqP,-0.227,41484.155,0
BSU00370,abrB,BSU22540,qcrC,-0.393,4243.08,-1
BSU00370,abrB,BSU22550,qcrB,-0.446,4259.708,-1
BSU00370,abrB,BSU22560,qcrA,-0.528,1659.375,-1
BSU00370,abrB,BSU22810,yphF,-0.129,44434.575,-1
BSU00370,abrB,BSU22820,yphE,-0.163,33748.923,-1
BSU00370,abrB,BSU24220,spo0A,-0.227,42620.552,0
BSU00370,abrB,BSU24620,tasA,-0.628,1023.21,-1
BSU00370,abrB,BSU24630,sipW,-0.696,1244.555,-1
BSU00370,abrB,BSU24640,tapA,-0.697,1813.225,-1
BSU00370,abrB,BSU25190,cccA,-0.385,3332.222,-1
BSU00370,abrB,BSU25690,sda,-0.218,42700.882,0
BSU00370,abrB,BSU25740,yqeB,-0.19,43934.628,0
BSU00370,abrB,BSU25840,phrE,-0.24,37496.268,-1
BSU00370,abrB,BSU25860,yqcG,-0.504,11091.245,-1
BSU00370,abrB,BSU25870,yqcF,-0.254,38997.75,0
BSU00370,abrB,BSU25880,yqxJ,-0.825,2028.735,-1
BSU00370,abrB,BSU25890,yqxI,-0.821,1772.675,-1
BSU00370,abrB,BSU26230,yqaP,-0.329,19781.778,-1
BSU00370,abrB,BSU26780,yrdA,-0.381,20143.833,0
BSU00370,abrB,BSU26820,yrpD,-0.543,5860.24,-1
BSU00370,abrB,BSU26890,csn,-0.623,4764.5,-1
BSU00370,abrB,BSU26930,yraI,-0.205,42930.805,0
BSU00370,abrB,BSU27190,yrzI,-0.3,23652.287,-1
BSU00370,abrB,BSU31080,bslA,-0.876,2356.025,-1
BSU00370,abrB,BSU31250,tlpA,-0.532,3139.285,-1
BSU00370,abrB,BSU31960,dhbF,-0.289,13813.495,-1
BSU00370,abrB,BSU31970,dhbB,-0.25,14851.673,-1
BSU00370,abrB,BSU31980,dhbE,-0.231,20183.342,-1
BSU00370,abrB,BSU31990,dhbC,-0.195,26621.057,-1
BSU00370,abrB,BSU32000,dhbA,-0.192,20020.88,-1
BSU00370,abrB,BSU32010,besA,-0.308,2768.95,-1
BSU00370,abrB,BSU33140,yvqJ,-0.624,1294.17,-1
BSU00370,abrB,BSU33260,yvrN,-0.452,8173.735,-1
BSU00370,abrB,BSU33270,yvrO,-0.528,4484.52,-1
BSU00370,abrB,BSU33280,yvrP,-0.475,7780.155,-1
BSU00370,abrB,BSU33410,yvgO,-0.312,21501.68,-1
BSU00370,abrB,BSU33750,sdpA,-0.689,2055.92,-1
BSU00370,abrB,BSU33760,sdpB,-0.807,936.24,-1
BSU00370,abrB,BSU33770,sdpC,-0.398,11144.395,-1
BSU00370,abrB,BSU33780,sdpI,-0.309,24897.135,-1
BSU00370,abrB,BSU33790,sdpR,-0.327,28704.78,-1
BSU00370,abrB,BSU34220,epsO,-0.474,2669.555,-1
BSU00370,abrB,BSU34230,epsN,-0.445,2209.41,-1
BSU00370,abrB,BSU34240,epsM,-0.389,5965.6,-1
BSU00370,abrB,BSU34250,epsL,-0.434,3332.22,-1
BSU00370,abrB,BSU34265,epsK,-0.354,8987.647,-1
BSU00370,abrB,BSU34280,epsJ,-0.409,4895.23,-1
BSU00370,abrB,BSU34290,epsI,-0.369,8568.5,-1
BSU00370,abrB,BSU34300,epsH,-0.526,3124.795,-1
BSU00370,abrB,BSU34310,epsG,-0.477,5758.198,-1
BSU00370,abrB,BSU34320,epsF,-0.427,6947.765,-1
BSU00370,abrB,BSU34330,epsE,-0.472,2651.907,-1
BSU00370,abrB,BSU34340,epsD,-0.489,4649.09,-1
BSU00370,abrB,BSU34350,epsC,-0.538,2315.345,-1
BSU00370,abrB,BSU34360,epsB,-0.472,2929.42,-1
BSU00370,abrB,BSU34370,epsA,-0.552,1419.66,-1
BSU00370,abrB,BSU34380,slrR,-0.415,10546.415,-1
BSU00370,abrB,BSU34390,pnbA,-0.336,28350.923,-1
BSU00370,abrB,BSU34830,yvzA,-0.358,5018.802,-1
BSU00370,abrB,BSU34840,yvcB,-0.49,3165.823,-1
BSU00370,abrB,BSU34850,yvcA,-0.396,8827.558,-1
BSU00370,abrB,BSU35050,yvnA,-0.4,7091.212,-1
BSU00370,abrB,BSU35060,cypX,-0.381,29498.188,-1
BSU00370,abrB,BSU35070,yvmC,-0.294,33963.967,-1
BSU00370,abrB,BSU35780,lytD,0.23,43515.09,0
BSU00370,abrB,BSU35910,rbsR,0.151,37364.4,1
BSU00370,abrB,BSU36250,ptkA,-0.175,42788.535,-1
BSU00370,abrB,BSU36460,ywoF,-0.479,11255.472,-1
BSU00370,abrB,BSU37350,sboA,-0.359,8279.09,-1
BSU00370,abrB,BSU37360,sboX,-0.328,12374.917,-1
BSU00370,abrB,BSU37370,albA,-0.319,21240.932,-1
BSU00370,abrB,BSU37380,albB,-0.15,38436.465,-1
BSU00370,abrB,BSU37390,albC,-0.225,34052.015,-1
BSU00370,abrB,BSU37400,albD,-0.146,43143.128,-1
BSU00370,abrB,BSU37410,albE,-0.218,11956.638,-1
BSU00370,abrB,BSU37420,albF,-0.21,21555.84,-1
BSU00370,abrB,BSU37430,albG,-0.177,36841.34,-1
BSU00370,abrB,BSU37690,bacF,-0.503,4722.852,-1
BSU00370,abrB,BSU37700,bacE,-0.586,5352.89,-1
BSU00370,abrB,BSU37710,bacD,-0.587,4215.172,-1
BSU00370,abrB,BSU37720,bacC,-0.505,6860.505,-1
BSU00370,abrB,BSU37730,bacB,-0.494,4518.257,-1
BSU00370,abrB,BSU37740,bacA,-0.345,23376.077,-1
BSU00370,abrB,BSU37800,sivA,-0.524,9106.31,-1
BSU00370,abrB,BSU39310,yxiC,-0.329,20101.075,0
BSU00370,abrB,BSU39320,yxiB,-0.182,43756.408,0
BSU00370,abrB,BSU39870,yxbD,-0.629,2858.355,-1
BSU00370,abrB,BSU39880,yxbC,-0.396,2586.845,-1
BSU00370,abrB,BSU39890,yxbB,-0.39,2702.085,-1
BSU00370,abrB,BSU39900,yxbA,-0.404,2744.99,-1
BSU00370,abrB,BSU39910,yxnB,-0.454,2460.09,-1
BSU00370,abrB,BSU39920,asnH,-0.513,2574.65,-1
BSU00370,abrB,BSU39930,yxaM,-0.513,2903.415,-1
BSU00370,abrB,BSU39940,yxaL,-0.375,29481.292,-1
BSU00370,abrB,BSU39950,yxaJ,-0.277,32519.972,-1
BSU00370,abrB,BSU40050,gntR,0.22,29603.465,1
BSU00370,abrB,BSU40080,gntZ,0.198,41447.152,1
BSU00370,abrB,BSU40140,yydJ,-0.393,14383.933,-1
BSU00370,abrB,BSU40150,yydI,-0.651,2177.8,-1
BSU00370,abrB,BSU40160,yydH,-0.592,2796.74,-1
BSU00370,abrB,BSU40170,yydG,-0.69,1436.76,-1
BSU00370,abrB,BSU40180,yydF,-0.568,1628.855,-1
BSU00370,abrB,BSU40470,yycC,-0.258,42612.353,0
BSU00370,abrB,BSU40580,yybN,-0.174,42075.785,0
BSU08100,acoR,BSU01380,map,-0.184,41669.195,0
BSU08100,acoR,BSU01389,ybzG,-0.175,42182.497,0
BSU08100,acoR,BSU01390,infA,-0.179,42634.423,0
BSU08100,acoR,BSU01400,rpmJ,-0.179,41765.63,0
BSU08100,acoR,BSU01410,rpsM,-0.177,42905.497,0
BSU08100,acoR,BSU02350,gamP,-0.15,44163.842,0
BSU08100,acoR,BSU08060,acoA,0.698,299.285,1
BSU08100,acoR,BSU08070,acoB,0.701,239.11,1
BSU08100,acoR,BSU08080,acoC,0.706,244.07,1
BSU08100,acoR,BSU08090,acoL,0.669,668.7,1
BSU08100,acoR,BSU19310,dhaS,0.165,40380.775,0
BSU08100,acoR,BSU29679,ytzK,0.287,23285.693,0
BSU01810,adaA,BSU00680,hprT,0.166,42747.967,0
BSU01810,adaA,BSU01800,alkA,0.699,5435.89,1
BSU01810,adaA,BSU01820,adaB,0.899,857.545,1
BSU01810,adaA,BSU14120,abbA,0.217,41769.175,0
BSU01810,adaA,BSU17400,ymaB,-0.225,37767.783,0
BSU01810,adaA,BSU28630,pheT,-0.172,44382.535,0
BSU01810,adaA,BSU38530,dltD,-0.237,34054.89,0
BSU01810,adaA,BSU40290,yycN,0.133,41907.893,0
BSU27000,adhR,BSU03910,gabD,0.32,29141.61,0
BSU27000,adhR,BSU07690,yflG,0.312,11615.032,0
BSU27000,adhR,BSU08220,yfiC,0.296,16524.057,0
BSU27000,adhR,BSU10050,ecsB,0.234,34627.91,0
BSU27000,adhR,BSU10130,hemH,0.229,40944.878,0
BSU27000,adhR,BSU11550,yjbH,0.31,17152.75,0
BSU27000,adhR,BSU12410,yjoA,0.201,39431.82,0
BSU27000,adhR,BSU13200,rsbRB,0.26,30076.17,0
BSU27000,adhR,BSU18520,yoxB,-0.176,43406.665,0
BSU27000,adhR,BSU22950,ypdA,0.175,44383.853,0
BSU27000,adhR,BSU23820,yqjM,0.334,18441.952,0
BSU27000,adhR,BSU27010,adhA,0.579,2985.38,1
BSU27000,adhR,BSU27020,yraA,0.883,545.555,1
BSU27000,adhR,BSU33190,yvrD,0.423,6448.475,0
BSU27000,adhR,BSU34780,yvcI,0.436,5477.53,0
BSU27000,adhR,BSU35990,ywrO,0.26,29986.908,0
BSU27000,adhR,BSU39780,iolS,0.266,43564.91,0
BSU24250,ahrC,BSU02390,ybgE,-0.219,38537.558,0
BSU24250,ahrC,BSU11190,argC,-0.974,150.895,-1
BSU24250,ahrC,BSU11200,argJ,-0.984,48.445,-1
BSU24250,ahrC,BSU11210,argB,-0.985,33.71,-1
BSU24250,ahrC,BSU11220,argD,-0.985,32.62,-1
BSU24250,ahrC,BSU11230,carA,-0.986,27.935,-1
BSU24250,ahrC,BSU11240,carB,-0.984,44.01,-1
BSU24250,ahrC,BSU11250,argF,-0.971,116.96,-1
BSU24250,ahrC,BSU13940,ykwB,-0.151,43904.537,0
BSU24250,ahrC,BSU15460,ylyB,0.197,43048.402,0
BSU24250,ahrC,BSU17460,glnA,-0.253,41363.13,0
BSU24250,ahrC,BSU22650,trpF,-0.268,42597.08,0
BSU24250,ahrC,BSU22960,gudB,0.253,36655.397,0
BSU24250,ahrC,BSU23360,ppiB,0.243,35479.938,0
BSU24250,ahrC,BSU23960,artR,-0.943,394.115,0
BSU24250,ahrC,BSU23970,artQ,-0.923,485.415,0
BSU24250,ahrC,BSU23980,artP,-0.874,1149.535,0
BSU24250,ahrC,BSU29430,ytzD,-0.895,603.17,0
BSU24250,ahrC,BSU29440,argH,-0.975,138.34,-1
BSU24250,ahrC,BSU29450,argG,-0.968,217.485,-1
BSU24250,ahrC,BSU37480,ywhH,-0.273,37532.118,0
BSU24250,ahrC,BSU37760,rocC,1.307,9404.56,1
BSU24250,ahrC,BSU37770,rocB,1.497,7877.785,1
BSU24250,ahrC,BSU37780,rocA,1.249,10686.788,1
BSU24250,ahrC,BSU37790,rocG,0.399,22246.045,1
BSU24250,ahrC,BSU38160,qoxB,0.246,43594.122,0
BSU24250,ahrC,BSU38170,qoxA,0.239,42746.537,0
BSU24250,ahrC,BSU40320,rocF,1.122,2972.875,1
BSU24250,ahrC,BSU40330,rocE,1.122,3138.293,1
BSU24250,ahrC,BSU40340,rocD,1.153,3177.635,1
BSU31410,alaR,BSU31400,alaT,0.487,33179.927,0
BSU36020,alsR,BSU05980,tatAY,0.2,42346.827,0
BSU36020,alsR,BSU05990,tatCY,0.193,43055.07,0
BSU36020,alsR,BSU36000,alsD,0.941,751.23,1
BSU36020,alsR,BSU36010,alsS,0.885,778.98,1
BSU23590,ansR,BSU04570,murF,-0.183,40781.695,0
BSU23590,ansR,BSU13890,ptsG,-0.188,42320.22,0
BSU23590,ansR,BSU23550,mleA,-0.313,23389.91,0
BSU23590,ansR,BSU23560,mleN,-0.324,34137.043,0
BSU23590,ansR,BSU23570,ansB,-0.914,256.665,-1
BSU23590,ansR,BSU23580,ansA,-0.937,297.765,-1
BSU33970,araR,BSU01389,ybzG,0.27,43479.02,0
BSU33970,araR,BSU01390,infA,0.257,43465.85,0
BSU33970,araR,BSU07010,yesS,-0.433,22601.178,0
BSU33970,araR,BSU28510,abf2,-0.363,5507.305,-1
BSU33970,araR,BSU28720,abfA,-0.652,750.915,-1
BSU33970,araR,BSU28730,araQ,-0.721,667.095,-1
BSU33970,araR,BSU28740,araP,-0.673,763.025,-1
BSU33970,araR,BSU28750,araN,-0.656,711.97,-1
BSU33970,araR,BSU28760,araM,-0.58,603.9,-1
BSU33970,araR,BSU28770,araL,-0.569,829.645,-1
BSU33970,araR,BSU28780,araD,-0.56,807.23,-1
BSU33970,araR,BSU28790,araB,-0.619,1109.805,-1
BSU33970,araR,BSU28800,araA,-0.589,2101.42,-1
BSU33970,araR,BSU28810,abnA,-0.585,1203.655,-1
BSU33970,araR,BSU30150,ytdP,-0.328,23880.695,0
BSU33970,araR,BSU31190,yulD,-0.177,43020.463,0
BSU33970,araR,BSU33960,araE,-0.629,1874.66,-1
BSU37290,arfM,BSU00680,hprT,-0.143,43027.4,0
BSU37290,arfM,BSU03050,ldh,0.593,1093.095,1
BSU37290,arfM,BSU03060,lctP,0.425,2257.725,1
BSU37290,arfM,BSU03290,nasE,0.337,7048.01,1
BSU37290,arfM,BSU03300,nasD,0.259,7228.012,1
BSU37290,arfM,BSU04510,ydbL,0.206,44061.647,0
BSU37290,arfM,BSU38060,ywcJ,0.266,19283.188,0
BSU37290,arfM,BSU38760,cydA,0.172,30654.967,0
BSU25810,arsR,BSU06870,yesE,-0.174,43212.325,0
BSU25810,arsR,BSU11970,yjcS,-0.186,42900.26,0
BSU25810,arsR,BSU25780,arsC,-0.591,7037.33,-1
BSU25810,arsR,BSU25790,arsB,-0.856,418.225,-1
BSU25810,arsR,BSU25800,yqcK,-0.68,1424.35,-1
BSU25810,arsR,BSU26580,bltR,-0.197,42441.823,0
BSU25810,arsR,BSU26940,yraH,-0.181,41844.85,0
BSU05330,aseR,BSU01500,rpsI,-0.235,44159.235,0
BSU05330,aseR,BSU01580,ybaR,-0.378,22904.088,0
BSU05330,aseR,BSU05340,aseA,-0.967,117.195,-1
BSU05330,aseR,BSU05343,ydzS/1,-0.432,40720.787,0
BSU05330,aseR,BSU05344,ydzS/2,-0.663,1925.747,0
BSU05330,aseR,BSU08030,yfjN,-0.163,44166.58,0
BSU05330,aseR,BSU09120,yhcK,-0.255,43166.19,0
BSU05330,aseR,BSU09470,yhdH,-0.248,42883.982,0
BSU05330,aseR,BSU12250,yjkB,-0.196,37257.997,0
BSU05330,aseR,BSU13720,queC,-0.254,29784.502,0
BSU05330,aseR,BSU18120,alsT,-0.23,38971.493,0
BSU05330,aseR,BSU19450,rsbRC,-0.183,38844.56,0
BSU05330,aseR,BSU22190,ypsA,-0.215,34667.4,0
BSU05330,aseR,BSU23220,scpA,-0.205,40027.613,0
BSU05330,aseR,BSU25270,glyQ,-0.193,42460.493,0
BSU05330,aseR,BSU27330,udk,-0.248,42592.228,0
BSU05330,aseR,BSU27340,yrrO,-0.284,41413.442,0
BSU05330,aseR,BSU27350,yrrN,-0.304,28710.463,0
BSU05330,aseR,BSU27360,yrrM,-0.191,43474.457,0
BSU05330,aseR,BSU29900,trmB,-0.291,31320.64,0
BSU05330,aseR,BSU35700,tagH,-0.314,25395.513,0
BSU05330,aseR,BSU37580,ywgB,-0.306,20153.507,0
BSU05330,aseR,BSU40690,yybC,-0.207,42117.757,0
BSU05330,aseR,BSU41040,spoIIIJ,-0.233,41294.93,0
BSU26720,azlB,BSU05410,ydfH,-0.167,41396.497,0
BSU26720,azlB,BSU06780,yeeC,-0.347,21077.572,0
BSU26720,azlB,BSU09050,yhcE,-0.162,43247.39,0
BSU26720,azlB,BSU15410,ylmH,-0.202,40301.495,0
BSU26720,azlB,BSU17660,yncF,-0.226,40405.173,0
BSU26720,azlB,BSU17678,ynzJ,-0.338,23198.357,0
BSU26720,azlB,BSU18730,yoaS,-0.184,42445.66,0
BSU26720,azlB,BSU18970,yobI,-0.195,37793.715,0
BSU26720,azlB,BSU19080,yobT,-0.272,42509.603,0
BSU26720,azlB,BSU22530,ypjA,-0.318,25801.34,0
BSU26720,azlB,BSU26690,brnQ,-0.86,688.245,-1
BSU26720,azlB,BSU26700,azlD,-0.834,685.47,-1
BSU26720,azlB,BSU26710,azlC,-0.893,569.69,-1
BSU26720,azlB,BSU28920,lytT,-0.168,42016.433,0
BSU26720,azlB,BSU35680,ggaB,-0.375,10507.702,0
BSU26720,azlB,BSU40600,yybL,-0.147,43441.1,0
BSU26720,azlB,BSU40770,tetB,-0.18,43254.808,0
BSU30400,bceR,BSU30370,bceB,0.931,286.83,1
BSU30400,bceR,BSU30380,bceA,0.943,223.615,1
BSU22440,birA,BSU02780,ycdA,-0.508,8771.218,0
BSU22440,birA,BSU07370,yfmR,0.182,40954.613,0
BSU22440,birA,BSU08790,thiC,-0.45,24625.595,0
BSU22440,birA,BSU10350,yhfS,-0.573,1637.965,0
BSU22440,birA,BSU10360,yhfT,-0.648,1370.795,0
BSU22440,birA,BSU10370,yhfU,-0.869,521.24,0
BSU22440,birA,BSU11650,tenA,-0.325,40663.452,0
BSU22440,birA,BSU11660,tenI,-0.327,40019.54,0
BSU22440,birA,BSU11670,thiO,-0.337,37839.938,0
BSU22440,birA,BSU11680,thiS,-0.335,37201.175,0
BSU22440,birA,BSU11690,thiG,-0.312,39720.525,0
BSU22440,birA,BSU11700,thiF,-0.311,38784.095,0
BSU22440,birA,BSU11710,thiD,-0.323,38816.982,0
BSU22440,birA,BSU13210,thiX,-0.348,41982.188,0
BSU22440,birA,BSU13230,thiV,-0.373,42148.845,0
BSU22440,birA,BSU13240,thiU,-0.356,43229.128,0
BSU22440,birA,BSU19579,yoyD,-0.217,41110.95,0
BSU22440,birA,BSU30180,ytbQ,-0.976,83.805,-1
BSU22440,birA,BSU30190,bioI,-0.99,9.885,-1
BSU22440,birA,BSU30200,bioB,-0.993,3.835,-1
BSU22440,birA,BSU30210,bioD,-0.994,3.23,-1
BSU22440,birA,BSU30220,bioF,-0.994,3.4,-1
BSU22440,birA,BSU30230,bioA,-0.994,2.22,-1
BSU22440,birA,BSU30240,bioW,-0.99,9.575,-1
BSU22440,birA,BSU32030,yuiG,-0.953,239.82,0
BSU22440,birA,BSU33800,opuCD,-0.239,42489.63,0
BSU22440,birA,BSU33810,opuCC,-0.224,43132.973,0
BSU22440,birA,BSU33820,opuCB,-0.248,36310.073,0
BSU22440,birA,BSU33830,opuCA,-0.237,33934.865,0
BSU22440,birA,BSU33940,gapA,-0.132,36919.692,0
BSU24100,bkdR,BSU14280,moeA,0.167,44284.125,0
BSU24100,bkdR,BSU14290,mobB,0.201,37819.065,0
BSU24100,bkdR,BSU14310,moaD,0.192,41949.205,0
BSU24100,bkdR,BSU24030,bkdB,1.482,295.585,1
BSU24100,bkdR,BSU24040,bkdAB,1.486,286.275,1
BSU24100,bkdR,BSU24050,bkdAA,1.532,203.985,1
BSU24100,bkdR,BSU24060,lpdV,1.464,260.395,1
